English Term;Turkish Term
Access control list;Erişim denetim dizelgesi
Access control matrix;Erişim denetimi matrisi
Access control mechanism; Erişim denetimi düzeneği
Access control method;Erişim denetimi yöntemi
Access control model;Erişim denetim örneği
Access control models in fmec ;Sis ve uç bilişimde erişim denetimi örnekleri
Access control policy;Erişim denetim ilkeleri
Access control policy tool;Erişim denetim ilkeleri aracı
Access control rule;Erişim denetim kuralı
Access control rule logic circuit simulation ;Erişim denetim kuralı mantık devresi benzetimi
Access control service;Erişim kontrol hizmeti
Access control system;Erişim denetim sistemi
Access cross domain solution;Etki alanları arası çözüme erişim
Access error;Erişim hatası
Access key;Erişim anahtarı
Access level;Erişim düzeyi
Access list;Erişim listesi
Access management;Erişim yönetimi
Access management access;Erişim yönetimi erişimi
Access matrix;Erişim matrisi
Access mechanism;Erişim düzeneği
Access method;Erişim yöntemi
Access network;Erişim ağı
Access path;Erişim yolu
Access period;Erişim dönemi
Access permission;Erişim izni
Access point;Erişim noktası
Access point name;Erişim noktası adı
Access privilege;Erişim ayrıcalığı
Access profile;Erişim profili
Access program;Erişim programı
Access record;Erişim kaydı
Access right;Erişim hakkı
Access rights management;Erişim hakkı yönetimi
Access strum;Kötü erişim
Access time;Erişim süresi
Access token;Erişim jetonu
Access traffic;Erişim trafiği
Access type;Erişim türü
Access vector;Erişim vektörü
Accessibility;Erişilebilirlik
Accessibility error;Erişilebilirlik hatası
Accessible computing;Erişilebilir bilişim
Accessible data;Erişilebilir veri
Accidental jamming;Raslantısal yayın bozma
Account;Hesap
Account audit;Hesap denetimi
Account harvesting attack;Hesap toplama saldırısı
Account management;Hesap yönetimi
Account management user;Hesap yönetimi kullanıcısı
Account manager;Hesap yöneticisi
Account name;Hesap adı
Account policy;Hesap ilkesi
Accountability;Hesap verebilirlik
Accounting legend code;Muhasebe açıklama kodu
Accounting number;Hesap numarası
Accredit;Yetki vermek
Accredited standards committee;Yetkilendirilmiş standartlar komitesi
Aceptable interruption window;Kabul edilebilir kesinti penceresi
Ack piggybacking;İnternet erişiminde alındı damgası
Acknowledgement;Alındı
Acquirer;Alıcı
Acquisition;Edinim
Acquisition development and installation controls;Edinme geliştirme ve kurulum denetimleri
Act fair and accurate credit transaction act of 2003 ;2003 adil ve doğru kredi işlem yasası
Activation data;Etkinleştirme verisi
Activation/issuance;Etkinleştirme / yayınlama
Active;Etkin
Active attack;Etkin saldırı
Active content;Etkin içerik
Active cyber defense;Etkin siber savunma
Active directory;Etkin dizin
Active directory authentication library ;Etkin dizin kimlik doğrulama kitaplığı
Active directory certificate services;Etkin dizin sertifika hizmetleri
Active directory domain services;Etkin dizin etki alanı hizmetleri
Active directory federation services;Etkin dizin federasyon hizmetleri
Active directory services;Etkin dizin hizmetleri
Active directory/domain name system;Etkin dizin/alan adı sistemi
Active security testing;Etkin güvenlik testi
Active server pages;Etkin sunucu sayfaları
Active state;Etkin durum
Active tag;Etkin etiket
Activity;Etkinlik
Activity monitor;Etkinlik gözlemleme
Actor;Aktör
Actual cost of work performed;Gerçekleştirilen işin gerçek maliyeti
Actual residual risk;Gerçek kalıntı riski
Actual state;Gerçek durum
Actuating capability;Çalıştırma yeteneği
Actuator;İşletici
Ad hoc;Geçici
Ad hoc network;Geçici ağ
Ad hoc network of drones;İha'lar için geçici ağ
Adapter;Uyarlayıcı
Adapter address;Uyarlayıcı adresi
Adapter information;Uyarlayıcı bilgisi
Adapter setting;Uyarlayıcı ayarı
Adapting quantum key;Nicemsel anahtar uyarlaması
Adaptive frequency hopping;Uyarlanabilir frekans atlaması
Adaptive security appliance;Uyarlanabilir güvenlik aygıtı
Add on;Eklenti
Addition rotation XOR;Toplama-döndürme-dışlayıcı veya
Address class;Adres sınıfı
Address conversion;Adres dönüştürme
Address resolution protocol;Adres çözümleme kuralı
Address space layout randomization;Adres alanı düzeni rastgele seçimi
Address space probe attack;Adres uzayı yoklama saldırısı
Adequate security;Yeterli güvenlik
Adjacent channel interference;Komşu kanal karışması
Administration control center;Yönetim denetim merkezi
Administrative account;Yönetim hesabı
Administrative domain;Yönetsel etki alanı
Administrative incident (comsec) ;Yönetsel olay
Administrative safeguards;Yönetsel önlemler
Administrative security;Yönetsel güvenlik
Administrator;Yönetici
Admission control for fmec;Sis ve uç bilişimde giriş denetimi
Adress resolution;Adres çözümleme
Advanced configuration and power interface ;Gelişmiş yapılandırma ve güç arayüzü
Advanced cyber threat;Gelişmiş siber tehdit
Advanced encryption standard;Gelişmiş şifreleme standardı
Advanced filter;Gelişmiş süzgeç
Advanced key processor;Gelişmiş anahtar işlemci
Advanced malware protection;Gelişmiş zararlı yazılım koruması Advanced multi-layered unification filesystem Gelişmiş çok katmanlı birleştirme dosya sistemi
Advanced network technologies division ;Gelişmiş ağ teknolojileri bölümü
Advanced peer to peer networking;Gelişmiş uçtan uca ağ iletişimi
Advanced penetration testing;Gelişmiş sızma testi
Advanced persistent thread;Gelişmiş kalıcı tehdit
Advanced reduced Instruction set computing (RISC) machine;Gelişmiş indirgenmiş komut seti hesaplama makinesi
Advanced research project agency;İleri araştırma projesi ajansı
Advanced research projects agency network;İleri araştırma projeleri ajans ağı
Advanced security;Gelişmiş güvenlik
Advanced technology academic research center;İleri teknoloji akademik araştırma merkezi
